,src,dest
404,USF1,SLC19A1
405,USF1,SLC16A13
406,USF1,SLC16A1
407,USF1,SLC12A6
408,USF1,SIRT2
409,USF1,SIRT1
410,USF1,SHC2
411,USF1,SGTB
412,USF1,SFXN2
413,USF1,SET
414,USF1,SERPINE2
415,USF1,SERPINE1
416,USF1,SEMA4B
417,USF1,SEC24A
418,USF1,SEC1
419,USF1,SCYL1
420,USF1,SATB2
421,USF1,SASH3
422,USF1,RUSC1
423,USF1,RUFY3
424,USF1,RPL23
425,USF1,RPIA
426,USF1,RORC
427,USF1,RNLS
428,USF1,RNF146
429,USF1,RNF128
430,USF1,RNASEK
431,USF1,RMND1
432,USF1,RLF
433,USF1,RHEBL1
434,USF1,RGL1
435,USF1,RDH5
436,USF1,RCOR2
437,USF1,RBM18
438,USF1,RBM15B
439,USF1,RBBP6
440,USF1,RASSF1
441,USF1,RASAL3
442,USF1,RARG
443,USF1,RAPGEF3
444,USF1,RALGDS
445,USF1,RAI14
446,USF1,RABEP1
447,USF1,RAB21
448,USF1,PURA
449,USF1,PTPRS
450,USF1,PTPDC1
451,USF1,PTGES2
452,USF1,PTCH1
453,USF1,PSMB10
454,USF1,PRRT2
455,USF1,PRR7
456,USF1,PRMT1
457,USF1,PRELID1
458,USF1,PRDX4
459,USF1,PPRC1
460,USF1,PPFIBP2
461,USF1,PPAT
462,USF1,PLEKHA6
463,USF1,PLBD2
464,USF1,PLA2G4A
465,USF1,PKN1
466,USF1,PKLR
467,USF1,PIP4K2C
468,USF1,PIGP
469,USF1,PICALM
470,USF1,PIAS4
471,USF1,PI4KA
472,USF1,PHF20
473,USF1,PFN1
474,USF1,PER1
475,USF1,PECR
476,USF1,PDK2
477,USF1,PDE4A
478,USF1,PCP2
479,USF1,PCID2
480,USF1,PBRM1
481,USF1,PANK3
482,USF1,PAK1IP1
483,USF1,OSBPL8
484,USF1,ORAI2
485,USF1,OGDHL
486,USF1,NSD1
487,USF1,NRIP3
488,USF1,NRAS
489,USF1,NR5A1
490,USF1,NPTN
491,USF1,NPM1
492,USF1,NOTCH3
493,USF1,NOP56
494,USF1,NNT
495,USF1,NME2
496,USF1,NIT1
497,USF1,NHLRC1
498,USF1,NDUFS1
499,USF1,NDUFC1
